Month,Predicted_Max,Predicted_Min
1,8.72,-14.38
2,8.879999999999999,-14.719999999999999
3,10.82,-11.5
4,12.88,-5.62
5,23.080000000000002,-2.5
6,27.619999999999997,1.28
7,28.52,6.9799999999999995
8,27.939999999999998,8.42
9,26.119999999999997,2.8600000000000003
10,20.02,-1.5399999999999998
11,14.719999999999999,-5.92
12,13.325,-9.475
